x,y,cell,longitude,latitude,hadsst_winter_cellmean,hadsst_spring_cellmean,hadsst_summer_cellmean,hadsst_fall_cellmean,lag_hadsst_summer_cellmean
-70.5,42.5,522,-70.90685,42.34393,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90677363636364,42.3439,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90664,42.342945,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.906615,42.42067,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90659571428571,42.34379571428571,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90657,42.34382,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90651,42.42091,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90649400000001,42.343742,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.906405,42.343695,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90624588235293,42.34338911764706,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90597,42.3437,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90422,42.42038,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.90135,42.42101,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.89377,42.340155,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.89328496251255,42.34147996176026,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.893265,42.344483333333336,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.89315500000001,42.344665,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.892685,42.34119,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.891487,42.327162,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.89132,42.345715,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.8912,42.343802,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.891011,42.342275,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.891005,42.326845,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.890339,42.326938,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
-70.5,42.5,522,-70.89031194336705,42.3271982464939,5.7573067463768854,6.0902611172951016,17.095856950089736,13.80681899216798,17.095856950089736
