latitude,longitude,min_year,max_year
44.3668,-67.974,2005,2005
44.366816,-67.978165,2010,2010
44.36687,-67.9865,2003,2003
44.3669,-67.9976,2004,2004
44.3669,-67.9928,2007,2007
44.36767,-68.10566,2011,2011
44.3677,-68.1057,2014,2014
44.3677,-68.0934,2017,2017
44.36811,-68.077935,2017,2017
44.368210000000005,-68.07843500000001,2017,2017
44.37017,-68.077,2012,2012
44.37062,-67.87349,2003,2003
44.3723,-68.8022,2014,2014
44.3724,-68.8086,2007,2007
44.37516,-67.8796,2012,2012
44.3762,-68.7986,2017,2017
44.378,-68.4696,2017,2017
44.37805,-68.47401,2009,2009
44.3791,-68.4637,2006,2006
44.3796,-67.8733,2017,2017
44.3851,-68.0129,2007,2007
44.389,-67.967266,2017,2017
44.389065,-67.96422,2001,2001
44.3891,-67.9674,2015,2015
44.3892,-67.961,2006,2006
44.3896,-68.0124,2004,2004
44.3939,-68.0125,2018,2018
44.3954,-68.1443,2018,2018
44.3973,-67.9509,2015,2015
44.39761,-67.95086,2011,2011
44.398499,-67.942669,2002,2002
44.39865,-67.94713,2003,2003
44.39943,-68.14297,2009,2009
44.4002,-68.1394,2014,2014
44.40024,-68.13937,2011,2011
44.402128,-67.872879,2002,2002
44.4051,-67.9366,2017,2017
44.40659,-67.86653,2001,2001
44.4066,-67.8728,2004,2004
44.40701,-67.93169,2008,2008
44.40708,-67.9402,2012,2012
44.4072,-67.94,2016,2016
44.4115,-67.9298,2005,2005
44.4116,-67.9418,2006,2006
44.4123,-68.1319,2016,2016
44.41286,-68.1314,2009,2009
44.41602,-67.92899,2009,2009
44.4161,-67.929,2016,2016
44.4174,-68.1349,2004,2004
44.4175,-68.1363,2018,2018
44.41907,-68.13,2012,2012
44.4192,-68.1298,2015,2015
44.4215,-67.84725,2008,2008
44.42447,-67.8477,2012,2012
44.4258,-68.1358,2017,2017
44.42854791,-64.12988601,2000,2022
44.429,-67.8476,2007,2007
44.431281,-62.5665,2019,2019
44.43843311,-64.09592455,2000,2022
44.4421,-67.8209,2016,2016
44.4423,-67.8258,2006,2006
44.4423,-67.82168,2003,2003
44.4424,-67.8581,2017,2017
44.442547,-67.858173,2010,2010
44.44524131,-64.14167508,2000,2022
44.446,-67.8216,2007,2007
44.44721,-67.85321,2011,2011
44.44942296,-63.713577,2000,2022
44.45579262,-63.66071502,2000,2022
44.4616667,-67.6783333,1996,1997
44.46178,-68.1566,2012,2012
44.4618,-68.1566,2014,2014
44.4623,-68.1669,2017,2017
44.4626,-68.1609,2007,2007
44.46287,-68.17277,2001,2001
44.463898,-67.624035,1996,1997
44.4658,-68.1552,2018,2018
44.46621,-68.15455,2009,2009
44.46708,-68.1608,2013,2013
44.47173,-68.16106,2001,2001
44.4718,-67.7859,2017,2018
44.4721,-67.6766,2007,2007
44.4736,-67.7897,2005,2005
44.4746,-67.6686,2005,2005
44.4747,-67.6664,2015,2015
44.47481,-67.67655,2001,2001
44.47488785,-64.1373325,2000,2022
44.47746009,-63.77083847,2000,2022
44.47852,-67.80993,2001,2001
44.48045,-67.75111,2001,2001
44.481953,-67.691265,2010,2010
44.48202,-67.7014,2013,2013
44.4822,-67.5276,2017,2018
44.48227,-67.73913,2003,2003
44.4823,-67.7444,2005,2005
44.4824,-67.8018,2016,2016
44.4827,-67.8083,2014,2014
44.482742,-67.808296,2010,2010
44.48277,-67.8143,2012,2012
44.48321,-67.55694,2008,2008
44.4833333,-67.6633333,1999,2003
44.48392,-67.52526,2008,2008
44.484,-67.5248,2015,2015
44.48499,-67.69122,2011,2011
44.48522,-63.53436,2000,2022
44.4855,-67.5772,2016,2016
44.4862,-67.6638,2007,2007
44.48624,-67.63207,2003,2003
44.4863,-67.637,2006,2006
44.486357,-67.676289,2002,2002
44.48813,-67.56432,2011,2011
44.489000000000004,-67.6705,2016,2016
44.4896,-67.6678,2014,2014
44.4901,-67.6276,2014,2014
44.490267,-67.579377,2010,2010
44.490294,-67.556755,2010,2010
44.490295,-67.636499,2002,2002
44.4903,-67.5794,2014,2014
44.49108,-67.6331,2013,2013
44.491517,-67.65292,1996,2003
44.4916,-67.6335,2015,2015
44.4916667,-67.6366667,1996,2003
44.4916667,-67.635,1997,2003
44.49351453,-64.17671478,2000,2022
44.494688,-67.631863,2010,2010
44.49585,-67.75206,2003,2003
44.495928,-67.763393,2002,2002
44.4994,-67.7582,2006,2006
44.5002,-67.5121,2005,2005
44.5012,-67.6361,2017,2017
44.50124,-67.63622,2009,2009
44.5025,-67.5121,2004,2004
44.50358723,-64.26728795,2000,2022
44.505568,-67.512157,2002,2002
44.50681,-67.5182,2013,2013
44.5095,-67.5204,2016,2016
44.50998,-67.52066,2008,2008
44.51511503,-64.21115208,2000,2022
44.5155,-67.5307,2004,2004
44.519897,-67.531109,2002,2002
44.5199,-67.5311,2014,2014
44.52707,-63.95133,2005,2017
44.5296,-67.5366,2004,2004
44.53276,-67.53652,2011,2011
44.5328,-67.5365,2014,2014
44.5328,-67.5302,2006,2006
44.53726455,-64.01674717,2000,2022
44.54115995,-63.95357947,2000,2022
44.5457,-67.5554,2014,2014
44.54572,-67.5553,2012,2012
44.5473,-67.5632,2015,2015
44.54756,-67.56276,2009,2009
44.54773832,-64.19553526,2000,2022
44.55083,-62.01917,2005,2017
44.5513,-67.5636,2006,2006
